store_name,#뷰맛집,#사진명소,#힐링코스,#분위기좋은,#이색체험,#야경명소,#계절명소,#아이와함께,#가족여행,#데이트코스,#우정여행,#혼자여행,#찐맛집,#디저트맛집,#가성비갑,#양푸짐,#주차편함,#친절해요,#넓은공간,#접근성좋은,#청결한,#웨이팅필수,#산책하기좋은,#역사탐방,#전시관람,#액티비티,#실내데이트,#반려동물동반,#무료입장,#휴식하기좋은
9.81파크 제주,0.12073486,0.05397169,0.027007846,0.011792937,0.45358914,0.007411574,0.07423257,0.23467723,0.07858846,0.031587042,0.092770554,0.054798987,0.013264426,0.034865927,0.034443915,0.014736894,0.0159065,0.121980846,0.03691249,0.032666054,0.04026754,0.24455518,0.008082255,0.0049361265,0.005353301,0.34012586,0.13657366,0.01846778,0.01592719,0.015475085
N서울타워,0.3659114,0.096383736,0.046024006,0.0401548,0.05812038,0.19239683,0.18389064,0.16545606,0.08564827,0.030079525,0.024932345,0.018718466,0.024937857,0.031340845,0.040313493,0.0051683807,0.03501097,0.041441448,0.0043251812,0.108451545,0.02933241,0.12613879,0.056263965,0.009617223,0.019711459,0.005513917,0.027250899,0.004440238,0.03699448,0.059012927
감천문화마을,0.102853864,0.16117923,0.02266835,0.045444205,0.05641703,0.01922564,0.054716513,0.042566866,0.024308847,0.010666522,0.0193599,0.007258872,0.026609814,0.06825886,0.010844666,0.006720367,0.04631687,0.05767697,0.010522201,0.09340434,0.02525389,0.07732361,0.040307824,0.18662292,0.016355615,0.0032857028,0.0043859966,0.006889742,0.015045045,0.05448867
강릉선교장,0.06432779,0.07435857,0.06371341,0.07540027,0.0925039,0.03773551,0.13443384,0.047783684,0.053337272,0.010136572,0.013757138,0.009185268,0.008242133,0.029782608,0.022252405,0.0067078923,0.015906114,0.04298801,0.040768214,0.0455987,0.07442432,0.047353044,0.18591022,0.0673081,0.04601771,0.004032708,0.027766585,0.0045050285,0.066291414,0.20536421
갯골생태공원,0.13389738,0.1058298,0.060791958,0.019304438,0.07032824,0.01779297,0.20600525,0.09849966,0.06335492,0.022090735,0.011840248,0.004496931,0.027802605,0.016505998,0.0211229,0.0058221864,0.15868074,0.017750166,0.030997941,0.04352019,0.041991863,0.039261214,0.28493503,0.0064364052,0.008954157,0.005367452,0.03269791,0.034321077,0.04642206,0.2923486
거제식물원,0.021082453,0.2496917,0.0457238,0.011399081,0.100651674,0.0044788164,0.2000708,0.1919545,0.12197698,0.02460027,0.015600306,0.011018053,0.0078503685,0.042126343,0.045145646,0.009684534,0.051303547,0.053493053,0.06809322,0.02703911,0.062246267,0.09570144,0.0517321,0.009417817,0.058144763,0.013077597,0.16324091,0.006334673,0.075012766,0.061312154
경복궁,0.13571164,0.19365731,0.0845938,0.10149226,0.075047255,0.06001603,0.30214918,0.08872313,0.041290678,0.016648607,0.024586119,0.0066557415,0.009797557,0.018991375,0.015266997,0.005019965,0.026282344,0.029771589,0.034273744,0.116896875,0.026101122,0.09417184,0.12949608,0.09814804,0.13247064,0.0040133046,0.021373013,0.006346048,0.117022865,0.1419279
경주대릉원,0.12081312,0.33457237,0.11185755,0.057469063,0.040353294,0.04635027,0.28930572,0.053795293,0.032273456,0.01877042,0.010497253,0.004823385,0.022250274,0.015548786,0.011713302,0.0073086787,0.062457938,0.00934834,0.023024768,0.09210746,0.046467986,0.10668283,0.34377143,0.07931729,0.04213112,0.0040405425,0.034454234,0.007563828,0.15004814,0.34347025
경주월드,0.014481003,0.030365933,0.020014368,0.015776984,0.35520196,0.006073089,0.08793017,0.18440014,0.030678192,0.014431802,0.03267961,0.009131164,0.046271753,0.01697231,0.05388621,0.007882178,0.03371976,0.037024852,0.032905206,0.05706612,0.037248503,0.25945765,0.006219607,0.005691597,0.032824356,0.31791458,0.02952214,0.0061436123,0.017523214,0.03917947
경포해변,0.4061181,0.09215741,0.09232559,0.06153324,0.044907488,0.061071202,0.18548724,0.034343146,0.028375259,0.011860793,0.015770093,0.015980296,0.03366259,0.026910258,0.011956207,0.003946255,0.039152194,0.0074813594,0.012285719,0.068700746,0.087322526,0.036176834,0.10640302,0.008056837,0.0084590195,0.0054758512,0.07202638,0.007777776,0.02063492,0.1446188
